industry_cluster;industry_type
Energy and Natural Resources;Building Materials
Energy and Natural Resources;Chemicals
Energy and Natural Resources;Mill Products
Energy and Natural Resources;Mining
Energy and Natural Resources;Oil, Gas, and Energy
Energy and Natural Resources;Utilities
Service Industries;Cargo Transportation and Logistics
Service Industries;Engineering, Construction, and Operations
Service Industries;Media
Service Industries;Passenger Travel and Leisure
Service Industries;Professional Services
Service Industries;Sports and Entertainment
Service Industries;Telecommunications
Consumer Industries;Agribusiness
Consumer Industries;Consumer Products
Consumer Industries;Fashion
Consumer Industries;Life Sciences
Consumer Industries;Retail
Consumer Industries;Wholesale Distribution
Discrete Industries;Aerospace and Defence
Discrete Industries;Automotive
Discrete Industries;High Tech
Discrete Industries;Industrial Manufacturing
Financial Services;Banking
Financial Services;Insurance
Public Services;Defence and Security
Public Services;Federal, National, and Central Government
Public Services;Healthcare
Public Services;Higher Education and Research
Public Services;Regional, State, and Local Government