PRACTICE;JSC;SKILLS;horizon
ABAP	;	ABAP ADVANCED	;	OData,Workflow,BRF,BOPF,AIF	;	H2
ABAP	;	ABAP BTP	;	Cloud Cockpit,Cloud Optimized ABAP,BTP HTTP Service,RAP,CDS,ADT for ECLIPSE,GIT	;	H3
ABAP	;	ABAP CORE	;	Reports,Conversions,Enhancements,Forms - Scripts,Smartforms,Print Adobe Forms,Dialog Programming,OO ABAP,	;	H1
ABAP	;	ABAP HANA	;	ATC Code Remediation,Code-Push-Down,InApp Extensibility,CDS,AMDP,RAP,Data Migration Cockpit,AIF,Flexible Workflow	;	H2
ABAP	;	ABAP HR	;	CORE ABAP,HR ABAP,	;	H1
ABAP	;	ABAP INTEGRATION	;	File Interfaces,ALE/ IDOC,ABAP Proxy	;	H1
ABAP	;	ABAP WEBDYNPRO	;	WebDynpro ABAP,Floor Plan Manager,	;	H1
BI	;	BI-HANA Advanced	;	SAP HANA Core Modelling,SQL Scripting,	;	H2
BI	;	BI-HANA CORE	;	SAP HANA Core Modelling	;	H2
BI	;	BW- Planning	;	SAP BW-ON-HANA,SAP BW IP,BPC Technical	;	H2
BI	;	BW/4HANA Core	;	SAP BW-ON-HANA,SAP BW/4HANA,Modelling,Extraction,ABAP for BW	;	H2
BI	;	BW-CORE	;	SAP BW-ON-HANA,Modelling,Extraction,WEBI Reporting,ABAP for BW	;	H1
BI	;	SAP-DW Advanced	;	SAP DataWarehouse Cloud	;	H3
BI	;	SAP-ETL Core	;	SAP Data Services,SAP-BODS,	;	H1
BI	;	SAP-Visualization Advanced	;	SAP BI,SAP SAC,Lumira	;	H2
BI	;	SAP-Visualization Core	;	SAP BI,WEBI,Lumira	;	H1
CX	;	CX C4C TECH	;	SAP Cloud Application Studio,ABSL,BODL,SAP UI Designer,APIs,OData,SAP CPI/PI	;	H3
CX	;	CX C4C-Sales	;	SAP C4C Sales Management	;	H3
CX	;	CX C4C-Service	;	SAP C4C Service Management	;	H3
CX	;	CX CPQ	;	SAP CPQ	;	H3
CX	;	CX CPQ Tech	;	SAP CPQ,Iron Python,Knockout.js,Script Workbench,SAP CPQ APIs,SAP CPQ UI Customizations,	;	H3
CX	;	CX CRM TECH	;	SAP CRM,OO ABAP,SAP WEB UI,BOL/GENIL,SAP BADI,SAP CRM FM,SAP CRM Middleware	;	H3
CX	;	CX CRM-Marketing	;	SAP CRM Marketing	;	H3
CX	;	CX CRM-Sales	;	SAP CRM Sales	;	H3
CX	;	CX CRM-Service	;	SAP CRM Service	;	H3
CX	;	CX Hybris Commerce	;	Hybris WCMS,Hybris PCM,Hybris ASM,SAP Customer Cockpit Backoffice,	;	H3
CX	;	CX Hybris TECH	;	Java,Spring,Hibernate,Eclipse,Hybris WCMS,Hybris PCM,DATAHUB/Hybris APIs,Hybris Accelerator,Hybris Backoffice,SAP CCv1/CCv2,	;	H3
Digital	;	DIGITAL BTP - CAP	;	SAP CAP,SAP CDS,	;	H2
Digital	;	DIGITAL BTP - CICD	;	SAP Piper	;	H3
Digital	;	DIGITAL BTP - Fiori	;	FIORI on BTP	;	H2
Digital	;	DIGITAL BTP - Workflow	;	BTP WF Services	;	H2
Digital	;	DIGITAL SAP FIORI	;	UI5,FIORI Elements,	;	H2
Digital	;	DIGITAL SAP Mobility	;	SMP,SAP Mobile Services,	;	H2
Digital	;	DIGITAL SAP PORTAL	;	SAP Enterprise Portal,WebDynpro Java,	;	H1
Digital	;	DIGITAL Web Development	;	HTML5,JavaScript,Node JS,MangoDB,Python	;	
DM-PM	;	SAP-Delivery management	;	SAP-Delivery management,SAP Activate,SAFe Agile,SCRUM Agile,Kanban	;	H2
DM-PM	;	SAP-Program Management	;	SAP-Program Management,SAP Activate,SAFe Agile,SCRUM Agile,Kanban	;	H1
DM-PM	;	SAP-Project Management	;	SAP-Project Management,SAP Activate,SAFe Agile,SCRUM Agile,Kanban	;	H2
eProcurement	;	ePROCUREMENT ARIBA	;	SAP ARIBA Upstream,SAP ARIBA Downstream,ARIBA Supplier LifeCycle Performance,ARIBA Sourcing,ARIBA Contract,ARIBA Buying & Invoicing,ARIBA Guided Buying	;	H2
eProcurement	;	ePROCUREMENT ARIBA CIG	;	SAP ARIBA,ARIBA CIG,SAP Cloud Platform Integration,ABAP,	;	H3
eProcurement	;	ePROCUREMENT ARIBA SCC	;	ARIBA Supply Chain Collaboration,ARIBA Commerce Automation,SAP MM,EDI,	;	H2
eProcurement	;	ePROCUREMENT COUPA	;	Coupa,Coupa Procurement,Coupa Sourcing,Coupa SIM,Coupa Analytics	;	H2
eProcurement	;	ePROCUREMENT FIELDGLASS	;	FIELDGLASS,Contingent Workforce Management,Vendor Managed Service,Worker Profile,	;	H3
eProcurement	;	ePROCUREMENT iVALUA	;	iValua,iValua Source to Contract,iValua Procurement,iValua Analytics,	;	H3
eProcurement	;	ePROCUREMENT SRM	;	SAP SRM,Self Service Procurement,	;	H1
eProcurement	;	ePROCUREMENT SRM Tech	;	SAP SRM Tech,ABAP,Workflow	;	H1
Finance	;	FINANCE Banking	;	SAP Banking,Bank Account Management,Bank Analyzer	;	H2
Finance	;	FINANCE BPC	;	SAP BPC Planning & Consolidation,Embedded BPC,BPC Optimized for HANA,Integrated Planning,	;	H2
Finance	;	FINANCE BPC - Consolidation	;	SAP BPC Consolidation,Real Time Consolidation (RTC),BPC Consolidation	;	H2
Finance	;	FINANCE BPC - Planning	;	SAP BPC Planning,Embedded BPC,BPC Optimized for HANA,Integrated Planning,	;	H2
Finance	;	FINANCE FICO-Central Finance	;	SAP Central Finance,FICO,	;	H2
Finance	;	FINANCE FICO-COFI-ECC	;	COFI ECC,Cost Element Accounting,Cost Center Accounting,Profit Center Accounting,Internal Order Accounting,Product Costing,Profitability Analysis,Material Ledger,Transfer Pricing,Project System Integration,Investment Management	;	H1
Finance	;	FINANCE FICO-COFI-S/4HANA	;	COFI S/4HANA,FICO S/4HANA,	;	H2
Finance	;	FINANCE FICO-ECC	;	FICO ECC,Classic General Ledger,New General Ledger,Accounts Receivable,Accounts Payable,Asset Accounting,Bank Accounting,Automatic Payment,Banking Interfaces,Flexible Real Estate Management,Funds Management,Contract Accounting,Travel Management,Revenue Accounting & Reporting (RAR),Lease Accounting,Taxation (Country Specific),Vendor Invoice Management	;	H1
Finance	;	FINANCE FICO-Group Reporting	;	SAP Group Reporting	;	H2
Finance	;	FINANCE FICO-REFX	;	SAP RE-FX	;	H2
Finance	;	FINANCE FICO-S/4HANA	;	FICO S/4HANA,S/4HANA Migration,New Asset Accounting,Account Based Profitability Analysis,Material Ledger2	;	H2
Finance	;	FINANCE FSCM-BCM	;	SAP Bank Communication Management (BCM)	;	H2
Finance	;	FINANCE FSCM-Credit-Collection-Dispute	;	SAP FSCM,SAP Credit Management,SAP Collection & Dispute Management	;	H2
Finance	;	FINANCE FSCM-Treasury	;	SAP TRM,Cash Management,Liquidity Forecast,Transaction Manager : Money Market Securities,Forex & Hedging,Market Risk Analyzer,Credit Risk Analyzer,Exposure Management,Hedge Accounting,In House Cash,	;	H2
Finance	;	FINANCE Insurance	;	SAP Insurance	;	H2
Finance	;	FINANCE Insurance-FICA	;	SAP FICA	;	H2
Finance	;	FINANCE Insurance-FSCD	;	SAP FSCD	;	H2
Finance	;	FINANCE SAC	;	SAP SAC Planning,Planning,	;	H2
Finance	;	FINANCE VIM	;	VIM-Open text	;	H2
Finance	;	Taxation (Australia and New Zealand)	;	Taxation - Australia,Taxation - Christmas Island,Taxation - Cocos (Keeling) Islands,Taxation - Heard Island and McDonald Islands,Taxation - New Zealand,Taxation - Norfolk Island,	;	H1
Finance	;	Taxation (Central Asia)	;	Taxation - Kazakhstan,Taxation - Kyrgyzstan,Taxation - Tajikistan,Taxation - Turkmenistan,Taxation - Uzbekistan	;	H1
Finance	;	Taxation (Eastern Asia)	;	Taxation - China,Taxation - Hong Kong,Taxation - Japan,Taxation - Macao,Taxation - Mongolia,Taxation - South Korea,Taxation - North Korea,Taxation - Taiwan,	;	H1
Finance	;	Taxation (Eastern Europe)	;	Taxation - Belarus,Taxation - Bulgaria,Taxation - Czechia,Taxation - Hungary,Taxation - Poland,Taxation - Romania,Taxation - Russian Federation,Taxation - Slovakia,Taxation - Ukraine,Taxation - Moldova,	;	H1
Finance	;	Taxation (Latin America and the Caribbean)	;	Taxation - Anguilla,Taxation - Antigua and Barbuda,Taxation - Argentina,Taxation - Aruba,Taxation - Bahamas,Taxation - Barbados,Taxation - Belize,Taxation - Bolivia (Plurinational State of),Taxation - Bonaire, Sint Eustatius and Saba,Taxation - Bouvet Island,Taxation - Brazil,Taxation - Cayman Islands,Taxation - Chile,Taxation - Colombia,Taxation - Costa Rica,Taxation - Cuba,Taxation - Curaao,Taxation - Dominica,Taxation - Dominican Republic,Taxation - Ecuador,Taxation - El Salvador,Taxation - Falkland Islands (Malvinas),Taxation - French Guiana,Taxation - Grenada,Taxation - Guadeloupe,Taxation - Guatemala,Taxation - Guyana,Taxation - Haiti,Taxation - Honduras,Taxation - Jamaica,Taxation - Martinique,Taxation - Mexico,Taxation - Montserrat,Taxation - Nicaragua,Taxation - Panama,Taxation - Paraguay,Taxation - Peru,Taxation - Puerto Rico,Taxation - Saint BarthŽlemy,Taxation - Saint Kitts and Nevis,Taxation - Saint Lucia,Taxation - Saint Martin (French part),Taxation - Saint Vincent and the Grenadines,Taxation - Sint Maarten (Dutch part),Taxation - South Georgia and the South Sandwich Islands,Taxation - Suriname,Taxation - Trinidad and Tobago,Taxation - Turks and Caicos Islands,Taxation - Uruguay,Taxation - Venezuela (Bolivarian Republic of),Taxation - Virgin Islands (British),Taxation - Virgin Islands (U.S.),	;	H1
Finance	;	Taxation (Melanesia)	;	Taxation - Fiji,Taxation - New Caledonia,Taxation - Papua New Guinea,Taxation - Solomon Islands,Taxation - Vanuatu	;	H1
Finance	;	Taxation (Micronesia)	;	Taxation - Guam,Taxation - Kiribati,Taxation - Marshall Islands,Taxation - Micronesia (Federated States of),Taxation - Nauru,Taxation - Northern Mariana Islands,Taxation - Palau,Taxation - United States Minor Outlying Islands,	;	H1
Finance	;	Taxation (Northern Africa)	;	Taxation - Algeria,Taxation - Egypt,Taxation - Libya,Taxation - Morocco,Taxation - Sudan,Taxation - Tunisia,Taxation - Western Sahara	;	H1
Finance	;	Taxation (Northern America)	;	Taxation - Bermuda,Taxation - Canada,Taxation - Greenland,Taxation - Saint Pierre and Miquelon,Taxation - United States of America	;	H1
Finance	;	Taxation (Northern Europe)	;	Taxation - land Islands,Taxation - Denmark,Taxation - Estonia,Taxation - Faroe Islands,Taxation - Finland,Taxation - Guernsey,Taxation - Iceland,Taxation - Ireland,Taxation - Isle of Man,Taxation - Jersey,Taxation - Latvia,Taxation - Lithuania,Taxation - Norway,Taxation - Svalbard and Jan Mayen,Taxation - Sweden,Taxation - United Kingdom,	;	H1
Finance	;	Taxation (Polynesia)	;	Taxation - American Samoa,Taxation - Cook Islands,Taxation - French Polynesia,Taxation - Niue,Taxation - Pitcairn,Taxation - Samoa,Taxation - Tokelau,Taxation - Tonga,Taxation - Tuvalu,Taxation - Wallis and Futuna,	;	H1
Finance	;	Taxation (South-eastern Asia)	;	Taxation - Brunei Darussalam,Taxation - Cambodia,Taxation - Indonesia,Taxation - Lao People's Democratic Republic,Taxation - Malaysia,Taxation - Myanmar,Taxation - Philippines,Taxation - Singapore,Taxation - Thailand,Taxation - Timor-Leste,Taxation - Viet Nam	;	H1
Finance	;	Taxation (Southern Asia)	;	Taxation - Afghanistan,Taxation - Bangladesh,Taxation - Bhutan,Taxation - India,Taxation - Iran (Islamic Republic of),Taxation - Maldives,Taxation - Nepal,Taxation - Pakistan,Taxation - Sri Lanka	;	H1
Finance	;	Taxation (Southern Europe)	;	Taxation - Albania,Taxation - Andorra,Taxation - Bosnia and Herzegovina,Taxation - Croatia,Taxation - Gibraltar,Taxation - Greece,Taxation - Holy See,Taxation - Italy,Taxation - Malta,Taxation - Montenegro,Taxation - North Macedonia,Taxation - Portugal,Taxation - San Marino,Taxation - Serbia,Taxation - Slovenia,Taxation - Spain,	;	H1
Finance	;	Taxation (Sub-Saharan Africa)	;	Taxation - Angola,Taxation - Benin,Taxation - Botswana,Taxation - British Indian Ocean Territory,Taxation - Burkina Faso,Taxation - Burundi,Taxation - Cabo Verde,Taxation - Cameroon,Taxation - Central African Republic,Taxation - Chad,Taxation - Comoros,Taxation - Congo,Taxation - Congo, Democratic Republic of the,Taxation - C™te d'Ivoire,Taxation - Djibouti,Taxation - Equatorial Guinea,Taxation - Eritrea,Taxation - Eswatini,Taxation - Ethiopia,Taxation - French Southern Territories,Taxation - Gabon,Taxation - Gambia,Taxation - Ghana,Taxation - Guinea,Taxation - Guinea-Bissau,Taxation - Kenya,Taxation - Lesotho,Taxation - Liberia,Taxation - Madagascar,Taxation - Malawi,Taxation - Mali,Taxation - Mauritania,Taxation - Mauritius,Taxation - Mayotte,Taxation - Mozambique,Taxation - Namibia,Taxation - Niger,Taxation - Nigeria,Taxation - RŽunion,Taxation - Rwanda,Taxation - Saint Helena, Ascension and Tristan da Cunha,Taxation - Sao Tome and Principe,Taxation - Senegal,Taxation - Seychelles,Taxation - Sierra Leone,Taxation - Somalia,Taxation - South Africa,Taxation - South Sudan,Taxation - Tanzania, United Republic of,Taxation - Togo,Taxation - Uganda,Taxation - Zambia,Taxation - Zimbabwe	;	H1
Finance	;	Taxation (Western Asia)	;	Taxation - Armenia,Taxation - Azerbaijan,Taxation - Bahrain,Taxation - Cyprus,Taxation - Georgia,Taxation - Iraq,Taxation - Israel,Taxation - Jordan,Taxation - Kuwait,Taxation - Lebanon,Taxation - Oman,Taxation - Palestine, State of,Taxation - Qatar,Taxation - Saudi Arabia,Taxation - Syrian Arab Republic,Taxation - Turkey,Taxation - United Arab Emirates,Taxation - Yemen,	;	H1
Finance	;	Taxation (Western Europe)	;	Taxation - Austria,Taxation - Belgium,Taxation - France,Taxation - Germany,Taxation - Liechtenstein,Taxation - Luxembourg,Taxation - Monaco,Taxation - Netherlands,Taxation - Switzerland	;	H1
Finance	;	Taxation (Antarctica)	;	Taxation - Antarctica	;	H1
HCM-SF	;	HCM - SF	;	SAP HCM,SAP SF Suite,	;	H2
HCM-SF	;	HCM CORE	;	Core SAP HCM,SAP HCM OM,SAP HCM PA,SAP HCM ESS,SAP HCM MSS	;	H1
HCM-SF	;	HCM CORE - S/4HANA	;	S/4HANA Integration,Core SAP HCM,OM,PA,ESS,MSS,	;	H2
HCM-SF	;	HCM CORE	;	SAP HCM Learning Solutions,PA,OM,ESS/MSS,	;	H1
HCM-SF	;	HCM Talent Management	;	SAP HCM Performance Goal Management,SAP HCM Compensation ,SAP HCM Learning Solutions,SAP HCM Benefits,ESS/MSS	;	
HCM-SF	;	HCM Payroll	;	SAP HCM Payroll Management	;	H2
HCM-SF	;	HCM SuccessFactors - Compensation	;	SAP SuccessFactors Compensation	;	H2
HCM-SF	;	HCM SuccessFactors - Employee Central	;	SAP SuccessFactors EC Core,SAP SuccessFactors EC Time Off,SAP SuccessFactors EC Benefits,SAP SuccessFactors EC Integrations,EC Report Story	;	
HCM-SF	;	HCM SuccessFactors - EC Payroll	;	SAP SuccessFactors EC Payroll,SAP SuccessFactors EC-ECP Integrations,ECP Reporting	;	H3
HCM-SF	;	HCM SuccessFactors - LMS	;	SAP SuccessFactors LMS,SF LMS Integrations, SuccessFactors JAM,SAP LITMOS,LMS Reports - Plateu , ORD	;	H2
HCM-SF	;	HCM SuccessFactors - Onboarding	;	SAP SuccessFactors Onboarding	;	H2
HCM-SF	;	HCM SuccessFactors - PMGM	;	SAP SuccessFactors PMGM	;	H2
HCM-SF	;	HCM SuccessFactors - Recruitment	;	SAP SuccessFactors Recruiting,SF Recruitment Marketing,SF Recruitment Reporting	;	H2
HCM-SF	;	HCM SuccessFactors - Reporting & Analytics	;	SAP SuccessFactors Reporting & Analytics,IAS Tenant Upgrade,Report Strory	;	H3
HCM-SF	;	HCM SuccessFactors - Succession Planning	;	SAP SuccessFactors Succession Planning,SAP SuccessFactors Career development plan,	;	H2
HCM-SF	;	HCM SuccessFactors - Workforce Analytics	;	SAP SuccessFactors Workforce Analytics	;	H3
HCM-SF	;	HCM SuccessFactors - Workforce Planning	;	SAP SuccessFactors Workforce Planning	;	H3
HCM-SF	;	HCM T&E Solutions - Concur	;	Concur- Expense Management,Concur-Travel Management,	;	H2
HCM-SF	;	HCM Time Solutions - Kronos	;	Kronos- Time and attendance management,Kronos Integrations,	;	H2
HCM-SF	;	HCM Time Solutions - Workforce Software	;	Workforce Time and Attendance,WFS integrations,	;	
Integration	;	INTEGRATION Ariba Integration	;	Cloud Integration Gateway,Ariba Overview,XSLT Mapping,ABAP Customization,	;	
Integration	;	INTEGRATION CPI - API	;	API Management,REST/OData,Swagger,Groovy Scripts,	;	
Integration	;	INTEGRATION CPI - Integration Suite	;	Core SAP CPI,OData,Open Connector,API Management,Integration Advisor,Trading Partner Management,Groovy Scripts,Integration Assessment,	;	
Integration	;	INTEGRATION CPI - Open connector	;	CPI Open Connector,REST API,Swagger	;	
Integration	;	INTEGRATION CPI - TPM	;	TPM,Integration Advisor,EDI (X12/EDIFACT),ALE/ IDOC,	;	
Integration	;	INTEGRATION PI-PO	;	CORE PI-PO,JAVA,ABAP Proxy,Security Protocols,Migration Cockpit	;	
Integration	;	INTEGRATION PI-PO BPM-BRM	;	SAP BPM,SAP BRM,	;	
Integration	;	INTEGRATION PI-PO EDI	;	SAP B2B Add-on,Trading Partner Management,EDI (X12/EDIFACT),ALE/ IDOC,	;	
MFG	;	MFG APO-DP-SNP	;	SAP APO - DP,SAP APO - SNP,SAP APO - CTM,CIF,BW,SAP PP,S/4HANA-PP	;	H2
MFG	;	MFG APO-PPDS	;	SAP APO - PPDS,CIF,SAP APO - SNP,SAP PP,S/4HANA-PP	;	H2
MFG	;	MFG DMS	;	SAP ECC DMS,SAP ECC Archive link,SAP S/4 HANA Harmonized Document Mgmt (HDM),SAP FLM-File lifecycle mgmt,SAP Cloud Document Mgmt Service,SAP Implementation ,SAP Application Support 	;	H1
MFG	;	MFG EAM	;	SAP S/4HANA EAM,SAP Warrenty Management,SAP WCM ,SAP Calibration Management ,SAP Shutdown Management ,SAP MDG - Asset Information Workbench ,SAP Capital Project Maintenance ,SAP Fleet Management ,SAP Linear Asset Management,SAP MRS/ Work Order Scheduling ,SAP CATS,SAP Implementation ,SAP Application Support 	;	H1
MFG	;	MFG EHSM	;	SAP ECC EHSM,SAP S/4HANA EHSM,SAP Product Compliance,SAP Sustainablity -PFM/SCT,SAP EHS Product Safety,SAP Implementation ,SAP Application Support 	;	H2
MFG	;	MFG IAM	;	SAP IAM/APM SUITE,SAP IAM/APM - ASPM,SAP IAM/APM - PAI,SAP IAM - AIN ,SAP SAM - Asset Manager ,SAP Implementation ,SAP Application Support 	;	H2
MFG	;	MFG IBP	;	SAP IBP,SAP IBP- S&OP,IBP- Demand,IBP- Response & Supply,IBP- Inventory,IBP- DDMRP,CPIDS,SDI,RTI,SAP PP,S/4HANA-PP	;	H2
MFG	;	MFG IBP - S&OP	;	SAP IBP- S&OP,SAP IBP- S&OP,IBP- Demand,SAP APO - DP,SAP APO - SNP,SAP PP,S/4HANA-PP	;	H2
MFG	;	MFG MII	;	SAP MII,SAP Ui5,SAP Integration,SAP Middleware,SAP ME,S/4HANA-PP,	;	H2
MFG	;	MFG PLM	;	SAP PLM  Receipe Development (for Process ind),SAP 3DVE,SAP PLM-ECTR_CAD Integ (for discrete ind ),SAP EPD Cloud,SAP Implementation ,SAP Application Support ,	;	H2
MFG	;	MFG PM	;	SAP ECC PM,SAP Warrenty Management,SAP WCM ,SAP Calibration Management ,SAP Shutdown Management ,SAP MDG - Asset Information Workbench ,SAP Capital Project Maintenance ,SAP Fleet Management ,SAP Linear Asset Management,SAP MRS/ Work Order Scheduling ,SAP CATS,SAP Implementation ,SAP Application Support 	;	H1
MFG	;	MFG PM - CS	;	SAP ECC PM-CS,SAP S/4HANA PM-CS,SAP ECC SD - CS,SAP S/4HANA SD - CS,SAP CATS,SAP Customer Service Billing,SAP Field Service Management ,SAP Implementation ,SAP Application Support 	;	H2
MFG	;	MFG PPM-EPPM	;	SAP ECC PPM,SAP S/4HANA PPM ,SAP Portfolio Mgmt,SAP Project Mgmt,SAP Resource Mgmt,SAP CPM - PICM & Risk Mgmt,SAP CPM - Financial Planning,SAP Implementation ,SAP Application Support 	;	H2
MFG	;	MFG PPM-EPPM-Industry cloud	;	Planning Synchronizer,Project Forecast,Resource Kaleidoscope,Project Paychain,Project Management Cockpit,Execution Workbench,Project Issue App,SAP Implementation ,SAP Application Support 	;	H3
MFG	;	MFG PPM-PS	;	SAP ECC PS,SAP S/4HANA PS ,SAP PS Structure and schedulling,SAP PS Finance (Cost, Budget, Rev),SAP PS Execution (Conf., Timesheet, Forecast),SAP PS Period End (EV, RA, Settlement),SAP PS Project Procrement incl. BOM, MRPSAP PS Assembly Processing,SAP PS Investment Mgmt.,SAP Implementation ,SAP Application Support ,	;	H1
MFG	;	MFG PTD-PP	;	SAP PP,S/4HANA-PP,Descrete Manufacturing,Repetitive Manufacturing,Kanban,Process Manufacturing,S/4HANA PEO,SAP Integration,PP-CO	;	H1
MFG	;	MFG PTD-PP-QM	;	SAP PP,SAP QM,	;	H1
MFG	;	MFG PTD-PP-VC	;	SAP PP-VC,Descrete Manufacturing,Repetitive Manufacturing,S/4HANA-PP,SAP SD-VC,SAP PS-VC,	;	H2
MFG	;	MFG SCP-APO-TECH	;	SAP APO,SAP Ui5,SAP Integration,SAP Middleware,SAP Middleware	;	H2
MFG	;	S/4HANA MFG GATP	;	S/4HANA-GATP,S/4HANA-AATP,APO-GATP,APO-GATP-MATP,SAP APO - PPDS,Product Allocation,Back Order Processing ( BOP ),APO-GATP-RBA,	;	H2
MFG	;	S/4HANA MFG PPDS	;	S/4HANA-PPDS,S/4HANA e-PPDS,S/4HANA-PP,CIF,SAP PP	;	H2
MFG	;	SAP Opentext-xECM	;	SAP ECC OpenText-xECM,SAP S/4HANA OpenText-xECM,SAP Implementation ,SAP Application Support ,	;	H2
OTC	;	OTC BRIM-CC	;	Subscriber Account, External Account and Charging Contract,Service Provider Master Data,Allowances,Integration with CI,Integration with SOM	;	H2
OTC	;	OTC BRIM-CI	;	Business Partner and Contract Accounts,Billable Items Management, Billing and Invoicing Process, Dependent Items,Billing Plans, Debit-Credit Memos,Convergent Invoicing triggered Rating,Partner Settlement and Shared Revenue,Master Agreement and Complex Discounting,Integration SD Invoice into Convergent Invoicing,Integration RAR with Convergent Invoicing,	;	H2
OTC	;	OTC BRIM-Convergent mediation	;	SAP Convergent Mediation Installation / Configuration,Integration with SOM, CC and CI,	;	H2
OTC	;	OTC BRIM-SOM	;	Subscription Order and  Contract,Bundles and  Master Data Product,Master and Partner Agreements,Solution Quote,Integration with CC,Integration with CI,	;	H2
OTC	;	OTC C4C	;	Activity, Lead, Opportunity, Quote, Order Management,Code List restrictions, Workflow, Approvals, Adaptation, Personalization, Data Workbench, Reports / Dashboards,Company settings, Transport Management, Business config - Fine-tuning/Scoping	;	H2
OTC	;	OTC CS-ECC	;	Technical Objects, Service Notifications,Service Contracts, Service Orders (Field Service),Returns and Repairs Processing,Planned Customer Service ,Service Analytics	;	H2
OTC	;	OTC GTS	;	Compliance Management,Customs Management,Risk Management,Electronics Compliance Reporting,Electronics Compliance Reporting,Integration with SAP ERP,	;	H2
OTC	;	OTC S/4 Service	;	Onsite Service ,In House Repair,Service Contract,Recurring Service,Integration to Sales	;	H3
OTC	;	OTC SD-ECC	;	Made to Stock (MTS),Third Party Sales,Intercompany Sales ,Stock Transport Processing,Consignment Processing,Make to Order (MTO),Engineer to Order (ETO),Delivery processing,Billing,IDOC processing,SD/Shipping/Billing RICEFW	;	H1
OTC	;	OTC SD-LE TRA-ECC	;	Shipment / Shipment Costing,Handling Unit Management,Made to Stock (MTS),Third Party Sales,Intercompany Sales ,Stock Transport Processing,Consignment Processing,Make to Order (MTO),Engineer to Order (ETO),Delivery processing,Billing,IDOC processing,SD/Shipping/Billing/LE RICEFW	;	H1
OTC	;	OTC SD-S/4HANA	;	Business PartnerÊ,SAP Credit Management,Settlement Management,Advanced ATP,SAP Transportation Management,International Trade,BRF+,Fiori Setup,Made to Stock (MTS),Third Party Sales,Intercompany Sales ,Stock Transport Processing,Consignment Processing,Make to Order (MTO),Engineer to Order (ETO),Delivery processing,Billing,IDOC processing,SD/Shipping/Billing RICEFW	;	H3
OTC	;	OTC Vistex-Data maintenance pricing	;	Data Maintenance Pricing - Vistex	;	H2
OTC	;	OTC Vistex-Incentive administration	;	Incentive Administration - Vistex	;	H2
OTC	;	OTC Vistex-Payback-Chargeback	;	SAP Payback & Chargebacks - Vistex	;	H2
S2P	;	S2P DL-EWM - S/4HANA 	;	Embedded EWM - Basic,Embedded EWM - Advance,Decentralized EWM,SAP FIORI ,EWM Yard Management,EWM - Yard Logistics,EWM - Master Data Management,EWM - Inbound Logistics,EWM -Outbound Logistics,EWM - Internal Processes,EWM Kit to Stock / Kit to order / Reverser Kitting,EWM Replenishment,EWM Continuous Physical Inventory ,EWM Cycle Counting Inventory ,EWM Cartonisation ,EWM Slotting and re-arrangements,EWM- PP Integration ,EWM- QM Integration ,EWM Batch Management,EWM Serial Management,EWM Shelf-life Management,EWM Danger Goods Management,EWM RFUI -Scanners ,EWM RFUI - Label Management,EWM PPF Actions,EWM- Hanged Queue Management,EWM-MFS Integration ,EWM Wearables - Integration,EWM-TM Integration ,EWM- YL Integration ,EWM-GTS Integration ,EWM Analytics / KPI ,EWM Value Canvas,EWM Value Solution Levers,	;	
S2P	;	S2P DL-EWM - S/4HANA (SaaS)	;	EWM - Master Data Management,EWM - Inbound Logistics,SAP FIORI ,EWM  Outbound Logistics,EWM Internal Processes,EWM - Yard Logistics,EWM Kit to Stock / Kit to order / Reverser Kitting,EWM Replenishment,EWM Continuous Physical Inventory ,EWM Cycle Counting Inventory ,EWM Cartonisation ,EWM Slotting and re-arrangements,EWM- PP Integration ,EWM- QM Integration ,EWM Batch Management,EWM Serial Management,EWM Shelf-life Management,EWM Danger Goods Management,EWM RFUI -Scanners ,EWM RFUI - Label Management,EWM PPF Actions,EWM- Hanged Queue Management,EWM-MFS Integration ,EWM Wearables - Integration,EWM-TM Integration ,EWM- YL Integration ,EWM-GTS Integration ,EWM Analytics / KPI ,EWM Value Canvas,EWM Value Solution Levers,	;	
S2P	;	S2P DL-EWM - SCM (Side Car)	;	EWM - Master Data Management,EWM - Inbound Logistics,EWM -Outbound Logistics,EWM - Internal Processes,EWM Yard Management,EWM Kit to Stock / Kit to order / Reverser Kitting,EWM Replenishment,EWM Continuous Physical Inventory ,EWM Cycle Counting Inventory ,EWM Cartonisation ,EWM Slotting and re-arrangements,EWM- PP Integration ,EWM- QM Integration ,EWM Batch Management,EWM Serial Management,EWM Shelf-life Management,EWM Danger Goods Management,EWM RFUI -Scanners ,EWM RFUI - Label Management,EWM PPF Actions,EWM- Hanged Queue Management,EWM-MFS Integration ,EWM Wearables - Integration,EWM-TM Integration ,EWM- YL Integration ,EWM-GTS Integration ,EWM Analytics / KPI ,EWM Value Canvas,EWM Value Solution Levers	;	
